CYS	8.3779973646	0.704323959361	21391	8.3779973646	0.704323959361	21391
MET	8.25760449271	1.32476081259	20595	8.24941072775	0.610224355807	20594
ILE	8.26551471504	0.693063383186	53041	8.26680587194	0.685896467555	53032
GLN	8.2191139719	0.665740742298	42941	8.21905196625	0.594718924379	42933
VAL	8.27539569788	0.683329977001	69768	8.27591997892	0.676241482042	69756
LYS	8.17938411224	0.65450437597	73172	8.17967209662	0.613949768996	73161
PRO	8.30856253561	0.578752511486	702	8.30856253561	0.578752511486	702
THR	8.23800843164	0.643580819651	57141	8.23844492504	0.637027869199	57135
PHE	8.34096934343	0.731269238266	38190	8.34230073396	0.723566914989	38184
ASN	8.32892742595	0.653104643933	42075	8.33084870297	0.638794037831	42060
HIS	8.26154987874	0.743255396789	21486	8.26298038798	0.735820992432	21482
GLY	8.32900158894	0.668026373696	75347	8.33055496332	0.652818807015	75327
ASP	8.30351505409	0.598043961594	60707	8.30441949464	0.582030205377	60693
LEU	8.22217931482	0.654431996732	87499	8.22318946663	0.648636904206	87487
ARG	8.24231364569	0.980395178884	50758	8.23977902404	0.621936491821	50752
TRP	8.2762060269	0.781540601408	12670	8.27549256933	0.777434639859	12669
ALA	8.19473559251	0.609184869984	76308	8.19522207417	0.599642440169	76297
GLU	8.33229745435	0.76929934483	77743	8.33218960363	0.60487954009	77720
TYR	8.3007081997	0.737443288661	32593	8.30096227151	0.736026718773	32592
SER	8.27949701879	0.602623537419	63280	8.28015122804	0.597007174098	63271
